issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
/FROZEN/ magazine,/FROZEN/ magazine,MS-DOS,07.08.1999,"diskmags,softwarelibrary_msdos_zzt,softwarelibrary_msdos,softwarelibrary,fav-slaykes,fav-beautyflstyle",coolzx,,416,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",zzt_frozen,1134334,,software,,"14.02.2016, 09.01.2017",14.02.2016,,,ZZT diskmags,https://archive.org/details/zzt_frozen
17 Bit Catalogue Disk - March/April 1990,17 Bit Catalogue Disk,Amiga,01.03.1990,"diskmags,softwarelibrary,emulation",17 Bit Software,Amiga diskmag for details of freeware and shareware disks sold by 17 Bit Software.,503,"Amiga Disk File,JPEG Thumb,Metadata,PNG",17-bit-cat-1990-03,952374,English,software,,"26.01.2015, 01.02.2023",26.01.2015,,,"diskmags,Amiga diskmags",https://archive.org/details/17-bit-cat-1990-03
3 Years APS (1996 04 08)(The Art Project Studios),3 Years APS,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,3 Years APS (1996 04 08)(The Art Project Studios),111,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",3_Years_APS_1996-04-08_The_Art_Project_Studios,2812365,English,software,,"02.09.2018, 24.05.2020",02.09.2018,,,,https://archive.org/details/3_Years_APS_1996-04-08_The_Art_Project_Studios
3D Realms Catalog - June 1995,3D Realms Catalog,MS-DOS,01.06.1995,"diskmags,softwarelibrary,emulation,fav-taxalot,fav-carmen_dom_nguez,fav-mr_jurjie,fav-slaykes",3D Realms Software,,518,"Animated GIF,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,ZIP",3d-realms-catalog-1995-06,278946,,software,1.0,"06.07.2016, 06.04.2022, 06.04.2022",06.07.2016,,06.04.2022,MS-DOS diskmags,https://archive.org/details/3d-realms-catalog-1995-06
"5th Dimension Licenceware Info Disk, Issue #2",5th Dimension Licenceware Info Disk,Amiga,01.05.1996,"diskmags,softwarelibrary,emulation",5th Dimension Licenceware,Amiga diskmag for information about software titles for sale from 5th Dimension Licenceware.,305,"Amiga Disk File,JPEG Thumb,Metadata,PNG",5DL-catalog-1996-05-01,1049656,English,software,,"17.02.2015, 28.01.2023",17.02.2015,,,"diskmags,Amiga diskmags,commercial diskmags,5D Licenceware",https://archive.org/details/5DL-catalog-1996-05-01
64 Times #01 (2000 03 07)(Bronx),64 Times,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,64 Times #01 (2000 03 07)(Bronx),281,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",64_Times_01_2000-03-07_Bronx,6153463,English,software,,"02.09.2018, 24.05.2020",02.09.2018,,,,https://archive.org/details/64_Times_01_2000-03-07_Bronx
64'er Magazin 84 04 (1984)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 84 04 (1984)(Markt & Technik)(de),138,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_84-04_1984_Markt_Technik_de,945021,English,software,1.0,"14.04.2021, 12.05.2021, 12.05.2021",14.04.2021,,12.05.2021,,https://archive.org/details/64er_Magazin_84-04_1984_Markt_Technik_de
64'er Magazin 84 10 (1984)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 84 10 (1984)(Markt & Technik)(de),144,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_84-10_1984_Markt_Technik_de,403145,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_84-10_1984_Markt_Technik_de
64'er Magazin 84 11 (1984)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 84 11 (1984)(Markt & Technik)(de),94,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_84-11_1984_Markt_Technik_de,742914,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_84-11_1984_Markt_Technik_de
64'er Magazin 84 12 (1984)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 84 12 (1984)(Markt & Technik)(de),93,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_84-12_1984_Markt_Technik_de,803862,English,software,,"14.04.2021, 03.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_84-12_1984_Markt_Technik_de
