,issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
0,"A+ Disk Magazine Volume 1, No. 1 (1984)(Ziff-Davis)",A+ Disk Magazine,APPLE II,01.01.1984,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation,fav-chris_spahn",,"A+ Disk Magazine Volume 1, No. 1 (1984)(Ziff-Davis)",159,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_A_Disk_Magazine_Volume_1_No._1_1984_Ziff_Davis,201807,English,software,,"22.06.2014, 17.03.2022",22.06.2014,,,,https://archive.org/details/a2_A_Disk_Magazine_Volume_1_No._1_1984_Ziff_Davis
1,a2 TimeOut Central 17,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 17,82,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_17,996063,English,software,,"22.07.2016, 17.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_17
2,a2 TimeOut Central 19,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 19,82,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_19,1005910,English,software,,"22.07.2016, 17.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_19
3,a2 TimeOut Central 20,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 20,103,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_20,972988,English,software,,"22.07.2016, 17.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_20
4,a2 TimeOut Central 5,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 5,96,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_5,1012971,English,software,,"22.07.2016, 17.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_5
5,a2 TimeOut Central 6,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 6,89,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_6,956348,English,software,,"22.07.2016, 17.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_6
6,a2 TimeOut Central 8,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 8,96,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_8,972641,English,software,,"22.07.2016, 18.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_8
7,a2 TimeOut Central 9,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Central 9,164,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Central_9,964411,English,software,,"22.07.2016, 18.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Central_9
8,a2 TimeOut Superfonts v3.0,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut Superfonts v3.0,104,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_Superfonts_v3.0,1373674,English,software,,"22.07.2016, 18.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_Superfonts_v3.0
9,a2 TimeOut TextTools v1.1,a2 TimeOut,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,a2 TimeOut TextTools v1.1,104,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_TimeOut_TextTools_v1.1,1294169,English,software,,"22.07.2016, 18.01.2017",22.07.2016,,,,https://archive.org/details/a2_TimeOut_TextTools_v1.1
