title,issues,first_issue,last_issue,publisher,language,note,issues_urls,magazine_url
Amiga Best of PD,"Nr. 25, Nr. 26, Nr. 27",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7063, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7064, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7065",https://www.kultboy.com/Amiga-Best-of-PD-Zeitschrift/401/
Amiga Concorde,"Nr. 1, Nr. 2, Nr. 4",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7066, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7067, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7068",https://www.kultboy.com/Amiga-Concorde-Zeitschrift/402/
Amiga Creativ,"Nr. 3, Nr. 6, Nr. 7",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7070, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7071, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7072",https://www.kultboy.com/Amiga-Creativ-Zeitschrift/404/
Amiga Fever (Diskmag),"1/94x, 2/94x",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5217, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5218",https://www.kultboy.com/Amiga-Fever-Diskmag-Zeitschrift/295/
Amiga Live,"Nr. 4, Nr. 8, Nr. 10, Nr. 11",Nr.1 (Jahr ??),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15308, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7060, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6962, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6963",https://www.kultboy.com/Amiga-Live-Zeitschrift/398/
Amiga Nightclub,"Nr. 2, Nr. 3, Nr. 8",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7073, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7074, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7075",https://www.kultboy.com/Amiga-Nightclub-Zeitschrift/405/
Amiga Power-Disc,"Nr. 1, Nr. 2, Nr. 3, Nr. 4, Nr. 5, Nr. 6, Nr. 7, Nr. 8, Nr. 9, Nr. 10, Nr. 11, Nr. 12, Nr. 13, Nr. 14, Nr. 15, Nr. 16, Nr. 17, Nr. 18, Nr. 19, Nr. 20, Nr. 21, Nr. 22, Nr. 23, Nr. 24, Nr. 25, Nr. 26, Nr. 27, Nr. 28, Nr. 29, Nr. 30, Nr. 31, Nr. 32",Nr. 1 (1990),Nr. 32,"Markt & Technik Verlag, Magna Media Verlag",Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4308, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4309, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4310, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4311, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4312, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4313, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13618, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13619, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6773, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14899, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6699, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6261, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6262, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6263, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4905, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4906, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6264, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6774, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7358, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6775, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4907, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4908, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11959, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4314, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4909, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4910, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4911, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13324, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6961, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4912, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4967, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4968",https://www.kultboy.com/Amiga-Power-Disc-Zeitschrift/217/
Amiga Schatztruhe,"Nr. 1, Nr. 2, Nr. 3, Nr. 4, Nr. 5, Nr. 6, 1",Nr.1 (1993),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7185, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7186, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7187, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14876, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15072, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7188, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7189",https://www.kultboy.com/Amiga-Schatztruhe-Zeitschrift/409/
Amiga Spiele Disc,"1/91, 2/91, 3/92, 4/92, 5/92, 6/92, Nr. 7, Nr. 8, Nr. 9, Nr. 10, Nr. 11, Nr. 12, Nr. 13, Nr. 15",1/91,Nr.16 (24.08.94),"Markt & Technik Verlag, Magna Media Verlag",Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13642, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13643, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15294, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4835, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4836, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4837, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7078, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4838, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4839, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4840, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4841, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9257, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7359, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4842",https://www.kultboy.com/Amiga-Spiele-Disc-Zeitschrift/261/
Amiga Super game,"Nr. 5, Nr. 6, Nr. 7, Nr. 8",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7190, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7191, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7192, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7193",https://www.kultboy.com/Amiga-Super-game-Zeitschrift/410/
Amiga Taktik,"Nr. 4, Nr. 5",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7194, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7544",https://www.kultboy.com/Amiga-Taktik-Zeitschrift/411/
Amiga user disc,"Nr. 7x, Nr. 17, Nr. 18, Nr. 19",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13285, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7195, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7196, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7197",https://www.kultboy.com/Amiga-user-disc-Zeitschrift/412/
Amigo!,"1/91, 2/91x, 3/91x, 4/91x, 5/91x, 6/91x, 1/92x, 2/92x, 3/92x, 4/92x, 5/92x, 6/92x, 1/93x, 2/93x, 3/93x, 4/93x, 5/93x, 6/93x, 1/94x, 2/94x, 3/94x, 4/94x, 5/94x, 6/94x, 1/95, 2/95, 3/95",1/91,,CP Verlag,Deutsch,Die Amigo! diente der preiswerten Veröffentlichung von Amiga-Spielen und -Anwendungen.,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4217, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4218, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4216, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4219, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4220, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4221, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4222, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4223, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4224, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4225, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4226, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4227, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4228, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4229, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4230, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4231, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12898, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12899, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12900, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12901, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4232, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12902, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12903, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4233, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9919, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12812, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5061",https://www.kultboy.com/Amigo-Zeitschrift/216/
Atari Joy,"Nr. 2, Nr. 3, Nr. 4, Nr. 5, Nr. 7",Nr.1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13440, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13441, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13442, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13443, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13444",https://www.kultboy.com/Atari-Joy-Zeitschrift/741/
C64 Disc Special,Nr. 1,Nr.1 (1992),,WS-Verlag,Deutsch,,https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7545,https://www.kultboy.com/C64-Disc-Special-Zeitschrift/453/
Com 64 Live,"Nr. 1, Nr. 2, Nr. 3, Nr. 4, Nr. 5, Nr. 6, Nr. 7, Nr. 8, Nr. 12",Nr. 1 (Jahr 1992),,WS-Verlag,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11023, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11024, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11025, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11026, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11027, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9455, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15273, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11029, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14907",https://www.kultboy.com/Com-64-Live-Zeitschrift/508/
