issue,title,platform,group,release,release_converted,link,download_links,external_links
3 Years APS,3 Years APS,Commodore 64,The Art Project Studios,march 1996,01.03.1996,https://www.pouet.net/prod.php?which=35934,http://csdb.dk/getinternalfile.php/3848/3 Years APS.zip,"http://csdb.dk/release/?id=3320, https://www.pouet.net/mirrors.php?which=35934"
3D Zine,3D Zine,Atari XL/XE,Sword,,,https://www.pouet.net/prod.php?which=88452,https://ftp.untergrund.net/users/ltk_tscc/fujiology/8BIT/SWORD/3D_ZINE.ZIP,"http://demozoo.org/productions/113557/, https://www.pouet.net/mirrors.php?which=88452"
42 issue #1,42,Amiga AGA,Talent,april 1994,01.04.1994,https://www.pouet.net/prod.php?which=32018,https://files.scene.org/view/mirrors/amigascne/Groups/T/Talent/Talent-4201.dms,https://www.pouet.net/mirrors.php?which=32018
42 issue #2,42,Amiga AGA,Talent,may 1994,01.05.1994,https://www.pouet.net/prod.php?which=8782,http://www.pvv.ntnu.no/~pallo/talent/Productions/Files/42.2.lha,"http://demozoo.org/productions/194469/, https://www.pouet.net/mirrors.php?which=8782"
4th dimension #1,4th dimension,Amiga OCS/ECS,Cryptoburners,march 1990,01.03.1990,https://www.pouet.net/prod.php?which=29977,http://ftp.amigascne.org/pub/amiga/Groups/C/Cryptoburners/CRB-4thDimension01.dms,"http://demozoo.org/productions/84230/, https://www.pouet.net/mirrors.php?which=29977"
4th dimension #2,4th dimension,Amiga OCS/ECS,Cryptoburners,may 1990,01.05.1990,https://www.pouet.net/prod.php?which=29976,http://ftp.amigascne.org/pub/amiga/Groups/C/Cryptoburners/CRB-4thDimension02.dms,"http://demozoo.org/productions/85258/, https://www.pouet.net/mirrors.php?which=29976"
4th dimension #3,4th dimension,Amiga OCS/ECS,Cryptoburners,july 1990,01.07.1990,https://www.pouet.net/prod.php?which=29975,https://files.scene.org/view/mirrors/amigascne/Groups/C/Cryptoburners/CRB-4thDimension03.dms,"http://demozoo.org/productions/130255/, https://www.pouet.net/mirrors.php?which=29975"
4th dimension #4,4th dimension,Amiga OCS/ECS,Cryptoburners,october 1990,01.10.1990,https://www.pouet.net/prod.php?which=29974,https://files.scene.org/view/mirrors/amigascne/Groups/C/Cryptoburners/CRB-4thDimension04.adf,"http://demozoo.org/productions/130256/, https://www.pouet.net/mirrors.php?which=29974"
4th dimension #5,4th dimension,Amiga OCS/ECS,"Cryptoburners, Razor 1911",january 1991,01.01.1991,https://www.pouet.net/prod.php?which=7863,https://files.scene.org/view/mirrors/amigascne/Groups/C/Cryptoburners/CRB-4thDimension05.dms,"http://demozoo.org/productions/130257/, https://www.pouet.net/mirrors.php?which=7863"
4th dimension #6,4th dimension,Amiga OCS/ECS,"Cryptoburners, Razor 1911, Rebels",may 1991,01.05.1991,https://www.pouet.net/prod.php?which=29978,https://files.scene.org/view/mirrors/amigascne/Groups/C/Cryptoburners/CRB-4thDimension06.dms,"http://demozoo.org/productions/130258/, https://www.pouet.net/mirrors.php?which=29978"
64 Times #1,64 Times,Commodore 64,Bronx,march 2000,01.03.2000,https://www.pouet.net/prod.php?which=19663,http://csdb.dk/getinternalfile.php/57602/64Times_01.zip,"http://csdb.dk/release/?id=9565, http://demozoo.org/productions/186673/, https://www.pouet.net/mirrors.php?which=19663"
7 Zone,7 Zone,MS-Dos,Cyclonus,june 2000,01.06.2000,https://www.pouet.net/prod.php?which=32587,https://files.scene.org/view/mags/7zone/7zone.zip,"http://demozoo.org/productions/98685/, https://www.pouet.net/mirrors.php?which=32587"
7 Zone #2,7 Zone 2,Windows,Cyclonus,march 2001,01.03.2001,https://www.pouet.net/prod.php?which=32588,https://files.scene.org/view/mags/7zone/7zone2.zip,"http://demozoo.org/productions/98686/, https://www.pouet.net/mirrors.php?which=32588"
7Up #003,7Up,Commodore 64,Warriors of the Wasteland,november 1989,01.11.1989,https://www.pouet.net/prod.php?which=35457,http://csdb.dk/getinternalfile.php/42265/7UP%23003_____WOW.T64,"http://csdb.dk/release/?id=50770, https://www.pouet.net/mirrors.php?which=35457"
