title,platform,country,country_translated,city,city_translated,language,releases,releases_converted,date_start,date_end,issues,link,download_link
#Z80,ZX Spectrum,Россия,Russia,Пермь,Perm,Russian,"09 марта 2000, 09 марта 1999, 21 ноября 1998, 23 августа 1998, 06 августа 1998, 07 мая 1998","07.05.1998, 06.08.1998, 23.08.1998, 21.11.1998, 09.03.1999, 09.03.2000",07.05.1998,09.03.2000,"#Z80 #01, #Z80 #02, #Z80 #03, #Z80 #04, #Z80 #05, #Z80 #06",https://zxpress.ru/issue.php?id=1,https://zxpress.ru/d.php?id=1
20,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"17 декабря 2001, 13 марта 2000, 23 февраля 2000, 12 декабря 1999","12.12.1999, 23.02.2000, 13.03.2000, 17.12.2001",12.12.1999,17.12.2001,"20 #01, 20 #02, 20 #03, 20 #04, 20 #05",https://zxpress.ru/issue.php?id=2,https://zxpress.ru/d.php?id=2
200,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"01 января 1995, 01 мая 1995, 01 июля 1995, 01 октября 1994, 01 августа 1994","01.08.1994, 01.10.1994, 01.01.1995, 01.05.1995, 01.07.1995",01.08.1994,01.07.1995,"200 #A, 200 #B, 200 #D, 200 #G, 200 #W",https://zxpress.ru/issue.php?id=3,https://zxpress.ru/d.php?id=3
3Bit,ZX Spectrum,Украина,Ukraine,Харьков,Kharkiv,Russian,03 января 2005,03.01.2005,03.01.2005,03.01.2005,3Bit #01,https://zxpress.ru/issue.php?id=4,https://zxpress.ru/d.php?id=4
47th Byte,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,,,,,47th Byte #01,https://zxpress.ru/issue.php?id=5,https://zxpress.ru/d.php?id=5
Acid Paper,ZX Spectrum,Россия,Russia,Арзамас,Worthless,Russian,29 декабря 2000,29.12.2000,29.12.2000,29.12.2000,"Acid Paper #01, Acid Paper #02, Acid Paper #03, Acid Paper #04",https://zxpress.ru/issue.php?id=7,https://zxpress.ru/d.php?id=7
ACNews,ZX Spectrum,Россия,Russia,Рязань,Ryazan,Russian,"14 июля 2020, 19 ноября 2018, 03 августа 2018, 02 мая 2018, 07 апреля 2018, 30 августа 2017, 01 марта 2017, 06 февраля 2017, 06 января 2017, 26 декабря 2016, 17 декабря 2015, 21 января 2016, 15 декабря 2015, 02 ноября 2005, 26 мая 2014, 23 октября 2013, 12 сентября 2010, 18 мая 2009, 21 января 2009, 12 ноября 2008, 16 сентября 2008, 08 февраля 2008, 01 апреля 2007, 24 марта 2007, 05 октября 2006, 01 апреля 2006, 26 февраля 2006, 31 января 2006, 25 декабря 2005, 04 сентября 2005, 13 июля 2005, 24 июня 2005, 01 апреля 2005, 17 марта 2005, 24 января 2005, 31 декабря 2004, 06 ноября 2004, 29 сентября 2004, 01 сентября 2004, 10 июля 2004, 26 июня 2004, 30 мая 2004, 31 марта 2004, 15 марта 2004, 28 февраля 2004, 12 января 2004, 31 декабря 2003, 01 ноября 2003, 17 сентября 2003, 20 августа 2003, 24 июля 2003, 24 июня 2003, 28 мая 2003, 08 мая 2003, 05 мая 2003, 31 марта 2003, 21 марта 2003, 31 декабря 2002, 31 октября 2002, 07 октября 2002, 25 сентября 2002, 29 июля 2002, 22 июня 2002, 18 июня 2002, 28 февраля 2002, 01 ноября 2001, 04 сентября 2001, 19 августа 2001, 25 июля 2001, 08 июля 2001, 18 июня 2001","18.06.2001, 08.07.2001, 25.07.2001, 19.08.2001, 04.09.2001, 01.11.2001, 28.02.2002, 18.06.2002, 22.06.2002, 29.07.2002, 25.09.2002, 07.10.2002, 31.10.2002, 31.12.2002, 21.03.2003, 31.03.2003, 05.05.2003, 08.05.2003, 28.05.2003, 24.06.2003, 24.07.2003, 20.08.2003, 17.09.2003, 01.11.2003, 31.12.2003, 12.01.2004, 28.02.2004, 15.03.2004, 31.03.2004, 30.05.2004, 26.06.2004, 10.07.2004, 01.09.2004, 29.09.2004, 06.11.2004, 31.12.2004, 24.01.2005, 17.03.2005, 01.04.2005, 24.06.2005, 13.07.2005, 04.09.2005, 02.11.2005, 25.12.2005, 31.01.2006, 26.02.2006, 01.04.2006, 05.10.2006, 24.03.2007, 01.04.2007, 08.02.2008, 16.09.2008, 12.11.2008, 21.01.2009, 18.05.2009, 12.09.2010, 23.10.2013, 26.05.2014, 15.12.2015, 17.12.2015, 21.01.2016, 26.12.2016, 06.01.2017, 06.02.2017, 01.03.2017, 30.08.2017, 07.04.2018, 02.05.2018, 03.08.2018, 19.11.2018, 14.07.2020",18.06.2001,14.07.2020,"ACNews #01, ACNews #02, ACNews #03, ACNews #04, ACNews #05, ACNews #06, ACNews #07, ACNews #08, ACNews #09, ACNews #10, ACNews #11, ACNews #12, ACNews #13, ACNews #14, ACNews #15, ACNews #16, ACNews #17, ACNews #18, ACNews #19, ACNews #20, ACNews #21, ACNews #22, ACNews #23, ACNews #24, ACNews #25, ACNews #26, ACNews #27, ACNews #28, ACNews #29, ACNews #30, ACNews #31, ACNews #32, ACNews #33, ACNews #34, ACNews #35, ACNews #37, ACNews #38, ACNews #39, ACNews #40, ACNews #41, ACNews #42, ACNews #43, ACNews #44, ACNews #45, ACNews #46, ACNews #47, ACNews #48, ACNews #49, ACNews #50, ACNews #51, ACNews #52, ACNews #53, ACNews #54, ACNews #55, ACNews #56, ACNews #57, ACNews #58, ACNews #59, ACNews #60, ACNews #61, ACNews #62, ACNews #63, ACNews #64, ACNews #65, ACNews #66, ACNews #67, ACNews #68, ACNews #69, ACNews #70, ACNews #71, ACNews #72, ACNews #73",https://zxpress.ru/issue.php?id=8,https://zxpress.ru/d.php?id=8
Adventurer,ZX Spectrum,Россия,Russia,Рыбинск,Rybinsk,Russian,"31 июля 2004, 30 июня 2003, 31 марта 2002, 31 января 2001, 31 июля 2000, 30 сентября 1999, 30 апреля 1999, 31 августа 1998, 31 января 1998, 28 февраля 1997, 30 ноября 1996, 31 июля 1996, 30 апреля 1996, 16 марта 1996, 31 декабря 1995","31.12.1995, 16.03.1996, 30.04.1996, 31.07.1996, 30.11.1996, 28.02.1997, 31.01.1998, 31.08.1998, 30.04.1999, 30.09.1999, 31.07.2000, 31.01.2001, 31.03.2002, 30.06.2003, 31.07.2004",31.12.1995,31.07.2004,"Adventurer #01, Adventurer #02, Adventurer #03, Adventurer #04, Adventurer #05, Adventurer #06, Adventurer #07, Adventurer #08, Adventurer #09, Adventurer #10, Adventurer #11, Adventurer #12, Adventurer #13, Adventurer #14, Adventurer #15",https://zxpress.ru/issue.php?id=9,https://zxpress.ru/d.php?id=9
All Paper,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,,,,,All Paper #01,https://zxpress.ru/issue.php?id=10,https://zxpress.ru/d.php?id=10
Always,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"01 апреля 2000, 21 ноября 1999, 04 ноября 1999","04.11.1999, 21.11.1999, 01.04.2000",04.11.1999,01.04.2000,"Always #01, Always #02, Always #03",https://zxpress.ru/issue.php?id=11,https://zxpress.ru/d.php?id=11
Amazing,ZX Spectrum,Украина,Ukraine,Харьков,Kharkiv,Russian,"14 июля 1998, 29 сентября 1997","29.09.1997, 14.07.1998",29.09.1997,14.07.1998,"Amazing #01, Amazing #02",https://zxpress.ru/issue.php?id=12,https://zxpress.ru/d.php?id=12
Amiga Info,ZX Spectrum,Россия,Russia,Ульяновск,Ulyanovsk,Russian,"31 мая 1997, 21 мая 1997","21.05.1997, 31.05.1997",21.05.1997,31.05.1997,"Amiga Info #01, Amiga Info #02",https://zxpress.ru/issue.php?id=13,https://zxpress.ru/d.php?id=13
Amiga News,ZX Spectrum,Украина,Ukraine,Кривой Рог,Krivoy Rog,Russian,31 августа 1997,31.08.1997,31.08.1997,31.08.1997,Amiga News #01,https://zxpress.ru/issue.php?id=14,https://zxpress.ru/d.php?id=14
