avg_rating,backup_location,btih,call_number,collection,contributor,coverage,creator,date,description,downloads,external-identifier,foldoutcount,format,genre,identifier,imagecount,indexflag,item_size,language,language_full,licenseurl,mediatype,members,month,name,noindex,num_reviews,oai_updatedate,platform,publicdate,publisher,related-external-id,reviewdate,rights,scanningcentre,source,stripped_tags,subject,title,title_cleaned,type,volume,week,year
,ia906100_5,,,"diskmags,softwarelibrary_msdos_zzt,softwarelibrary_msdos,softwarelibrary,fav-slaykes,fav-beautyflstyle",,,coolzx,07.08.1999,,416,,,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",,zzt_frozen,,"index,nonoindex",1134334,,,,software,,34,,,,"14.02.2016, 09.01.2017",MS-DOS,14.02.2016,,,,,,,,ZZT diskmags,/FROZEN/ magazine,/FROZEN/ magazine,,,13,1999
,ia905300_10,,,"diskmags,softwarelibrary,emulation",,,17 Bit Software,01.03.1990,Amiga diskmag for details of freeware and shareware disks sold by 17 Bit Software.,503,,,"Amiga Disk File,JPEG Thumb,Metadata,PNG",,17-bit-cat-1990-03,,"index,nonoindex",952374,eng,English,,software,,16,,,,"26.01.2015, 01.02.2023",Amiga,26.01.2015,,,,,,,,"diskmags,Amiga diskmags",17 Bit Catalogue Disk - March/April 1990,17 Bit Catalogue Disk - March/April,,,5,1990
,ia906801_18,,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,,,,3 Years APS (1996 04 08)(The Art Project Studios),111,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",,3_Years_APS_1996-04-08_The_Art_Project_Studios,,"index,nonoindex",2812365,eng,English,,software,,2,,,,"02.09.2018, 24.05.2020",Commodore 64,02.09.2018,,,,,,,"font face=""courier"",font",,3 Years APS (1996 04 08)(The Art Project Studios),3 Years APS,,,0,
5.0,ia906201_32,,,"diskmags,softwarelibrary,emulation,fav-taxalot,fav-carmen_dom_nguez,fav-mr_jurjie,fav-slaykes",,,3D Realms Software,01.06.1995,,518,,,"Animated GIF,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,ZIP",,3d-realms-catalog-1995-06,,"index,nonoindex",278946,,,,software,,38,,,1.0,"06.07.2016, 06.04.2022, 06.04.2022",MS-DOS,06.07.2016,,,06.04.2022,,,,,MS-DOS diskmags,3D Realms Catalog - June 1995,3D Realms Catalog - June,,,8,1995
,ia905301_10,,,"diskmags,softwarelibrary,emulation",,,5th Dimension Licenceware,01.05.1996,Amiga diskmag for information about software titles for sale from 5th Dimension Licenceware.,305,,,"Amiga Disk File,JPEG Thumb,Metadata,PNG",,5DL-catalog-1996-05-01,,"index,nonoindex",1049656,eng,English,,software,,24,,,,"17.02.2015, 28.01.2023",Amiga,17.02.2015,,,,,,,,"diskmags,Amiga diskmags,commercial diskmags,5D Licenceware","5th Dimension Licenceware Info Disk, Issue #2","5th Dimension Licenceware Info Disk,",,,5,1996
,ia906801_18,,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,,,,64 Times #01 (2000 03 07)(Bronx),281,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",,64_Times_01_2000-03-07_Bronx,,"index,nonoindex",6153463,eng,English,,software,,7,,,,"02.09.2018, 24.05.2020",Commodore 64,02.09.2018,,,,,,,"font face=""courier"",font",,64 Times #01 (2000 03 07)(Bronx),64 Times,,,2,
5.0,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 84 04 (1984)(Markt & Technik)(de),138,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_84-04_1984_Markt_Technik_de,,"index,nonoindex",945021,eng,English,,software,,5,,,1.0,"14.04.2021, 12.05.2021, 12.05.2021",Commodore 64,14.04.2021,,,12.05.2021,,,,,,64'er Magazin 84 04 (1984)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 84 10 (1984)(Markt & Technik)(de),144,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_84-10_1984_Markt_Technik_de,,"index,nonoindex",403145,eng,English,,software,,3,,,,"14.04.2021, 21.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 84 10 (1984)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 84 11 (1984)(Markt & Technik)(de),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_84-11_1984_Markt_Technik_de,,"index,nonoindex",742914,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 84 11 (1984)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 84 12 (1984)(Markt & Technik)(de),93,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_84-12_1984_Markt_Technik_de,,"index,nonoindex",803862,eng,English,,software,,1,,,,"14.04.2021, 03.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 84 12 (1984)(Markt & Technik)(de),64'er Magazin,,,0,
