Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues]
3Bit,unknown,unknown,01.01.2005,01.01.2005,ZX SPECTRUM,3Bit #1
3D Zine,unknown,unknown,01.01.2005,01.01.2005,ATARI 8 BIT,3D Zine
7 Zone,unknown,unknown,01.01.2005,01.01.2005,"MS-DOS, WINDOWS","7 Zone 1, 7 Zone 2"
7th Legion Review,unknown,unknown,06.09.1997,06.09.1997,MS-DOS,7th Legion Review
8 Ohms,unknown,unknown,01.01.1997,10.06.1998,AMIGA OCS/ECS,"8 Ohms 2, 8 Ohms 4, 8 Ohms 5, 8 Ohms 6, 8 Ohms 7, 8 Ohms 8, 8 Ohms 9, 8 Ohms 10, 8 Ohms 11"
11th,unknown,unknown,11.11.1997,11.11.1997,MS-DOS,11th #1
42,unknown,unknown,03.08.1994,11.11.1997,"AMIGA OCS/ECS, AMIGA AGA","42 1, 42 2"
64 Times,unknown,unknown,07.03.2000,07.03.2000,COMMODORE 64,64 Times #1
688 (I) Hunter/Killer Review,unknown,unknown,30.06.1997,30.06.1997,MS-DOS,688 (I) Hunter/Killer Review
Aaron Vs. Ruth Review,unknown,unknown,03.07.1997,03.07.1997,MS-DOS,Aaron Vs. Ruth Review
ABC Pack,unknown,unknown,15.01.1996,15.01.1996,AMIGA OCS/ECS,ABC Pack 04
Abnormalia,unknown,unknown,06.05.1993,15.01.1996,AMIGA OCS/ECS,"Abnormalia 1, Abnormalia 2, Abnormalia 3, Abnormalia 3.14, Abnormalia 4, Abnormalia 5"
Absorbance,unknown,unknown,01.01.1995,01.01.1995,MS-DOS,Absorbance 1
Acid,unknown,unknown,01.01.1999,01.01.1999,MS-DOS,Acid 1
Acid In Wonderland,unknown,unknown,01.01.1994,01.01.1994,MS-DOS,Acid In Wonderland 1
Ackernews,unknown,unknown,01.01.1994,01.01.1994,AMIGA OCS/ECS,"Ackernews 2, Ackernews 2.5"
ACNews,unknown,unknown,01.01.1994,01.01.1994,ZX SPECTRUM,"ACNews 53, ACNews #60, ACNews #61, ACNews #62, ACNews #63, ACNews #64, ACNews #65, ACNews #66"
Action News,unknown,unknown,01.01.1990,01.01.1994,COMMODORE 64,"Action News 1, Action News 2, Action News 3, Action News 4, Action News 5, Action News 6, Action News 7, Action News 8, Action News 9"
ACTION - Teacher's Magazin V1.0,unknown,unknown,01.01.1992,01.01.1992,ATARI ST/E,ACTION - Teacher's Magazin V1.0
Ad-Mag Issue,unknown,unknown,20.03.1994,20.03.1994,AMIGA OCS/ECS,Ad-Mag Issue 1
Add-Vantages v1.0,unknown,unknown,29.12.1991,29.12.1991,AMIGA OCS/ECS,Add-Vantages v1.0
Addbox,unknown,unknown,25.11.1994,01.01.1996,AMIGA OCS/ECS,"Addbox 1, Addbox 2, Addbox 5, Addbox 6"
Addresses,unknown,unknown,01.01.1996,01.01.1996,COMMODORE 64,Addresses 3
Addybook,unknown,unknown,12.10.1991,01.01.1996,COMMODORE 64,"Addybook 1, Addybook 2, Addybook 3, Addybook 4, Addybook 5, Addybook 6, Addybook 7, Addybook 8, Addybook 9, Addybook 10, Addybook 11, Addybook 12, Addybook 13, Addybook 14, Addybook 15"
Adrenalin,unknown,unknown,07.02.1993,07.02.1993,MS-DOS,Adrenalin 1
