Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Demo 2 - Hellmix,,,,,Commodore 64,Demo 2 - Hellmix #05,
Demolition Preview,English,,,,Commodore 64,Demolition Preview,
Dermo,Russian,Russia,,,ZX Spectrum,Dermo #01,
Dimension 64,English,,,,Commodore 64,"Dimension 64 Nr.01 (19xx)( )(de)(Side A), Dimension 64 Nr.02 (19xx)( )(de)(Side A), Dimension 64 Nr.03 (19xx)( )(de)(Side A), Dimension 64 Nr.05 (19xx)( )(de)(Side A), Dimension 64 Nr.07 (19xx)( )(de)(Side A), Dimension 64 Nr.13 (19xx)( )(de)(Side A), Dimension 64 Nr.14 (19xx)( )(de)(Side A), Dimension 64 Nr.15 (19xx)( )(de)(Side A)",
Dynamic News,English,,,,Commodore 64,"Dynamic News #01 [german], Dynamic News #1 (19xx)( )",
Enigma Tape Magazine,,,,,ZX Spectrum,,
Exit,English,,,,Commodore 64,"Exit #00 (19xx)(Exit), Exit 1 Preview",
Extra K by Beagle Brothers,English,,,,APPLE II,Extra K by Beagle Brothers (DOS 3.3)(ALT),Internet Archive
Fake,English,,,,Commodore 64,Fake #2 (19xx)(The Obsessed Maniacs),
Fantastic,Russian,Russia,,,ZX Spectrum,,
Fantasy,Russian,Belarus,,,ZX Spectrum,,
Fantik,Russian,Belarus,,,ZX Spectrum,"Fantik #01, Fantik #02, Fantik #03, Fantik #04, Fantik #05, Fantik #06, Fantik #07",
Fenzin,Russian,Belarus,,,ZX Spectrum,,
Free News,English,,,,Commodore 64,Free News #1,
Front Page Collection,English,,,,Commodore 64,"Front Page Collection 1 (19xx)(The Ruling Company), Front Page Collection 2 (19xx)(The Ruling Company), Front Page Collection 3 (19xx)(The Ruling Company)",
Fuck Side,,,,,Commodore 64,Fuck Side #01,
Fucked Up,English,,,,Commodore 64,Fucked Up #6,
Funny Night,Russian,Belarus,,,ZX Spectrum,,
Gator's Grafic Gallery,,,,,AMIGA OCS/ECS,Gator's Grafic Gallery,
Geomag,English,,,,Commodore 64,"Geomag #01 (19xx)( ), Geomag #02 (19xx)( )(Side A), Geomag #02 (19xx)( )(Side B), Geomag #03 (19xx)( )(Side A), Geomag #03 (19xx)( )(Side B), Geomag #04 (19xx)( )(Side A), Geomag #04 (19xx)( )(Side B), Geomag #05 (19xx)( )(Side A), Geomag #05 (19xx)( )(Side B), Geomag #06 (19xx)( )(Side A), Geomag #06 (19xx)( )(Side B), Geomag #07 (19xx)( )(Side A), Geomag #07 (19xx)( )(Side B), Geomag #08 (19xx)( )(Side A), Geomag #08 (19xx)( )(Side B), Geomag #09 (19xx)( )(Side A), Geomag #09 (19xx)( )(Side B), Geomag #10 (19xx)( )(Side A), Geomag #10 (19xx)( )(Side B), Geomag #10 (19xx)( )(Side C), Geomag #10 (19xx)( )(Side D), Geomag #11 (19xx)( )(Side A), Geomag #11 (19xx)( )(Side B), Geomag #12 (19xx)( )(Side A), Geomag #12 (19xx)( )(Side B), Geomag #13 (19xx)( )(Side A), Geomag #13 (19xx)( )(Side B), Geomag #14 (19xx)( )(Side A), Geomag #14 (19xx)( )(Side B), Geomag #15 (19xx)( )(Side A), Geomag #15 (19xx)( )(Side B), Geomag #16 (19xx)( )(Side A), Geomag #16 (19xx)( )(Side B), Geomag #17 (19xx)( )(Side A), Geomag #17 (19xx)( )(Side B), Geomag #17 (19xx)( )(Side C), Geomag #17 (19xx)( )(Side D), Geomag #18 (19xx)( )(Side A), Geomag #18 (19xx)( )(Side B)",
GMS News,Russian,Russia,,,ZX Spectrum,"GMS News #01, GMS News #02, GMS News #03",
Good Bye John,English,,,,Commodore 64,Good Bye John (19xx)(Triad),
Graffiti,English,,,,Commodore 64,Graffiti #001,
Gurla,English,,,,Commodore 64,Gurla #1 (19xx)( ),
HAAUG,English,,,,APPLE II,"HAAUG Fast Copy 5.0, HAAUG Locksmith",Internet Archive
Hellkodes,,,,,Commodore 64,Hellkodes #01,
Highscore,English,,,,Commodore 64,"Highscore #1 (19xx)( ), Highscore #2 (19xx)( ), Highscore #4 (19xx)( )",
Hintbook,English,,,,Commodore 64,Hintbook #Pre Version (19xx)(Hintbook),
