Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
Hoax,,,01.08.1992,09.08.1995,MS-DOS,"Hoax 1, Hoax 2, Hoax 3, Hoax 4, Hoax 5, Hoax 6, Hoax#1, Hoax#2, Hoax#3, Hoax#4, Hoax#5, Hoax#6","Demozoo, Pouet"
Hobby,Russian,Russia,31.01.1999,31.01.1999,ZX Spectrum,Hobby #01,ZXpress
"Hokus Pokus, HokusPokus",,,01.02.1995,15.09.1996,"AMIGA AGA, AMIGA OCS/ECS","Hokus Pokus 1, Hokus Pokus 2, Hokus Pokus 3, Hokus Pokus 4, HokusPokus issue 1, HokusPokus issue 2, HokusPokus issue 3, HokusPokus issue 4","Demozoo, Pouet"
Homo News,English,,01.01.1991,01.07.1991,Commodore 64,"Homo News #1, Homo News #2, Homo News #3, Homo News #3 (19xx)(Hoaxers), Homo News #4, Homo News #4 (1991 04)(Hoaxers), Homo News #5, Homo News #5 (1991)(Hoaxers), Homo News #6, Homo News #6 (1991 07)(Hoaxers)","CSDB, Internet Archive, Pouet"
Hooy Mag,Polish,Poland,,,ZX Spectrum,"HOOY MAG #1, HOOY MAG #2","Pouet, ZXpress"
Horror,Russian,Belarus,09.07.1999,27.03.2000,ZX Spectrum,"Horror #01, Horror #02, Horror #03, Horror #04, Horror #05, Horror #06",ZXpress
Hot Dog,,,01.10.1991,01.01.1992,AMIGA OCS/ECS,"Hot Dog 1, Hot Dog 2","Demozoo, Pouet"
Hot Margarine,,,01.01.1993,01.01.1993,Commodore 64,"Hot Margarine #01, Hot Margarine #02",CSDB
Hot News,,,01.01.1994,01.10.1994,AMIGA OCS/ECS,"Hot News 1, Hot News 2",Demozoo
Hot Style,"Polish, English",,01.12.2014,31.12.2022,Commodore 64,"Hot Style #1 [english], Hot Style #1 [polish], Hot Style #1 [Polish], Hot Style #1 [polish] , Hot Style #10 [polish], Hot Style #11, Hot Style #11 [polish], Hot Style #2 [polish], Hot Style #2 [Polish], Hot Style #3 [polish], Hot Style #4 [polish], Hot Style #5 [polish], Hot Style #6 [polish], Hot Style #7 [polish], Hot Style #8 [polish], Hot Style #9 [polish], Hot Style Archive [english]","CSDB, Demozoo, Pouet"
Hot-Mag,,,01.02.1994,01.12.1995,MS-DOS,"Hot-Mag #1, Hot-Mag #2, Hot-Mag #3, Hot-Mag #4, Hot-Mag #5, Hot-Mag #6","Demozoo, Pouet"
HotShot,English,,01.03.1990,29.06.1992,Commodore 64,"Hotshot #01, HotShot #01, Hotshot #02, HotShot #02, Hotshot #03, HotShot #03, Hotshot #03 (1990)(Flash), HotShot #04, Hotshot #04, Hotshot #05, HotShot #05, Hotshot #06, HotShot #06, Hotshot #07, HotShot #07, Hotshot #07 (1990 12 30)(Flash), HotShot #08, Hotshot #08, Hotshot #09, HotShot #09, HotShot #10, Hotshot #10, Hotshot #11, HotShot #11, HotShot #12, Hotshot #12, Hotshot #13, HotShot #13, Hotshot #13 (1991 07)(Flash), Hotshot #14, HotShot #14, Hotshot #14 (1991 09)(Flash), Hotshot #15, HotShot #15, Hotshot #15 (1991 10)(Flash), HotShot #16, Hotshot #16, Hotshot #17, HotShot #17, Hotshot #17 (1992 02)(Flash), Hotshot #18, HotShot #18, Hotshot #18 (1992 04 25)(Flash Inc.), Hotshot #18 (1992)(Flash), Hotshot #19, HotShot #19, Hotshot #19 (1992)(Flash), Hotshot 1, Hotshot 10, Hotshot 11, Hotshot 12, Hotshot 13, Hotshot 14, Hotshot 15, Hotshot 16, Hotshot 17, Hotshot 18, HotShot 19, Hotshot 2, Hotshot 3, Hotshot 4, Hotshot 5, Hotshot 6, Hotshot 7, Hotshot 8, Hotshot 9","CSDB, Demozoo, Internet Archive, Pouet"
"House Info Mag, House Information Magazine, House Information Magazine (HIM)",,,03.10.1994,20.07.1995,AMIGA OCS/ECS,"House Info Mag 1, House Information Magazine, House Information Magazine (HIM) - July '95, House Information Magazine (HIM) - June 1995, House Information Magazine (HIM) 1","Demozoo, Pouet"
How To Code,,,29.12.1993,09.11.1995,"ATARI FALCON, ATARI ST/E","How To Code 1, How To Code 2, How To Code 3, How To Code 4",Demozoo
Hoyle Poker Review,,,09.04.1997,09.04.1997,MS-DOS,Hoyle Poker Review,Demozoo
HP Source,,,01.01.1992,10.09.1992,ATARI ST/E,"HP Source Issue 1, HP Source Issue 2",Demozoo
