Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
ST-Info,,,,,ATARI ST/E,"ST-Info 1 – Game Solutions, ST-Info Issue 3",Demozoo
ST-Press,German,Germany,16.10.1989,05.11.1990,ATARI ST/E,"ST-Press Ausgabe 1, ST-Press Ausgabe 2, ST-Press Ausgabe 3, ST-Press Ausgabe 4, ST-Press Ausgabe 5, ST-Press Ausgabe 6, ST-Press Ausgabe 7",Demozoo
Stabloid Preview,,,23.08.1991,23.08.1991,"Atari ST, ATARI ST/E",Stabloid Preview,"Demozoo, Pouet"
StaidSoft magazine,,,23.12.1999,28.12.2002,MS-DOS,"StaidSoft magazine #1, StaidSoft magazine #2",Internet Archive
STampede,,,01.05.1990,01.11.1990,"Atari ST, ATARI ST/E","Stampede Issue 1, STampede Issue 1, STampede Issue 2, Stampede Issue 2, STampede Issue 3, Stampede Issue 3, STampede Issue 4, Stampede Issue 4, STampede Issue 5, Stampede Issue 5, Stampede Issue 6, STampede Issue 6, STampede Issue 7, Stampede Issue 7","Demozoo, Pouet"
Star,Russian,Russia,30.08.1996,12.10.1996,ZX Spectrum,"Star #01, Star #02",ZXpress
Star Quest I Review,,,27.02.1996,27.02.1996,MS-DOS,Star Quest I Review,Demozoo
Star Trek Generations Review,,,01.06.1997,01.06.1997,MS-DOS,Star Trek Generations Review,Demozoo
Star Trek: Judgement Rites Review,,,18.12.1993,18.12.1993,MS-DOS,Star Trek: Judgement Rites Review,Demozoo
Star Trek: Starfleet Academy Review,,,12.09.1997,12.09.1997,MS-DOS,Star Trek: Starfleet Academy Review,Demozoo
Star Wars: X-Wing VS. Tie Fighter Review,,,28.04.1997,28.04.1997,MS-DOS,Star Wars: X-Wing VS. Tie Fighter Review,Demozoo
Stargunner Review,,,14.03.1997,14.03.1997,MS-DOS,Stargunner Review,Demozoo
Starlight,"English, German",,,,Commodore 64,"Starlight #01 (19xx)(Starlight staff)(de)(Side A), Starlight #01 (19xx)(Starlight staff)(de)(Side B), Starlight #02 (19xx)(Starlight staff)(de)(Side A), Starlight #02 (19xx)(Starlight staff)(de)(Side B), Starlight #03 (19xx)(Starlight staff)(de)(Side A), Starlight #03 (19xx)(Starlight staff)(de)(Side B), Starlight #06 (19xx)(Starlight staff)(de)(Side A), Starlight #06 (19xx)(Starlight staff)(de)(Side B), Starlight #08 (19xx)(Starlight staff)(de)(Side A), Starlight #08 (19xx)(Starlight staff)(de)(Side B), Starlight #10 (19xx)(Starlight staff)(de)(Side A), Starlight #10 (19xx)(Starlight staff)(de)(Side B)",Internet Archive
Starmag,,,01.11.1991,01.12.1991,AMIGA OCS/ECS,"Starmag 1, Starmag 2",Demozoo
Stars Commodore,English,,,,Commodore 64,"Stars Commodore # Revision 64 (19xx)( )(es), Stars Commodore # Tratador de Textos (19xx)( )(es)",Internet Archive
STARSOFT Magazine,,,01.01.1992,01.01.1993,ATARI 8 BIT,"STARSOFT Magazine 1/1992, STARSOFT Magazine 2/1992, STARSOFT Magazine 2/1993, STARSOFT Magazine 3/1992",Demozoo
Static,English,,01.01.1991,01.08.1991,Commodore 64,"Static #001, Static #003, Static #1, Static #1 (1991)(Chrome), Static #2, Static #2 (1991 08)(Chrome), Static #3 (19xx)(Chrome), Static #3 (19xx)(Oregon)","CSDB, Internet Archive, Pouet"
Stek Magazyn,Polish,Poland,,,ATARI ST/E,Stek Magazyn Nr 01,Demozoo
Stellar,,,01.09.1995,01.09.1995,ATARI ST/E,"Stellar Catalogue, Stellar Diskzine Issue 01, Stellar Diskzine Issue 02, Stellar Diskzine Issue 03, Stellar Diskzine Issue 04, Stellar Diskzine Issue 05, Stellar Diskzine Issue 06, Stellar Diskzine Issue 07, Stellar Diskzine Issue 08, Stellar Diskzine Issue 09, Stellar Diskzine Issue 10, Stellar Diskzine Issue 11, Stellar Diskzine Issue 12, Stellar Diskzine Issue 13, Stellar Diskzine Issue 14, Stellar Diskzine Issue 15, Stellar Diskzine Issue 16",Demozoo
STEN,,,01.05.1991,01.11.1993,ATARI ST/E,"STEN #01, STEN #02, STEN #03, STEN #04, STEN #05, STEN #06, STEN #07, STEN #08, STEN #09, STEN #10, STEN #11, STEN #12, STEN #13, STEN #14, STEN #15",Demozoo
STEstosterone,,,01.10.1995,01.12.1995,ATARI ST/E,"STEstosterone Issue 1, STEstosterone Issue 2, STEstosterone Issue 3, STEstosterone Issue 4",Demozoo
Stink Magazine,,,24.09.1990,24.09.1990,ATARI ST/E,Stink Magazine 1,Demozoo
Stolen Data,,,01.11.1989,28.12.1992,AMIGA OCS/ECS,"Stolen Data 02 Charts, Stolen Data 08 Charts, Stolen Data 1, stolen data 10, Stolen Data 10, Stolen Data 2, Stolen Data 3, Stolen Data 4, Stolen Data 5, Stolen Data 6, Stolen Data 7, Stolen Data 8, Stolen Data 9, Stolen data 9","Demozoo, Pouet"
STOS Bits Disc,,,,,ATARI ST/E,"STOS Bits Disc V1.0, STOS Bits Disc V2.0",Demozoo
STOS Friend Chip Disk,,,,,ATARI ST/E,"STOS Friend Chip Disk 1, STOS Friend Chip Disk 2, STOS Friend Chip Disk 3, STOS Friend Chip Disk 4",Demozoo
STOS User Club Diskette,German,Germany,,,ATARI ST/E,STOS User Club Diskette 4,Demozoo
Stosser,,,01.05.1993,01.07.1993,ATARI ST/E,"Stosser Issue 01, Stosser Issue 02, Stosser Issue 03, Stosser Issue 04, Stosser Issue 05, Stosser Issue 06, Stosser Issue 07, Stosser Issue 08, Stosser Issue 09, Stosser Issue 10, Stosser Issue 11, Stosser Issue 12, Stosser Issue 13, Stosser Issue 14, Stosser Issue 15, Stosser Issue 16, Stosser Issue 17, Stosser Issue 18, Stosser Issue 19, Stosser Issue 20, Stosser Issue 21, Stosser Issue 22, Stosser Issue 23, Stosser Issue 24, Stosser Issue 25, Stosser Issue 26, Stosser Issue 27, Stosser Issue 28, Stosser Issue 29",Demozoo
Straight Up,,,01.05.1992,01.10.1992,ATARI ST/E,"Straight Up 05/92, Straight Up 06/92, Straight Up 07/92, Straight Up 08/92, Straight Up 09/92, Straight Up 10/92",Demozoo
Strata Czasu,Polish,Poland,10.10.1995,10.10.1995,AMIGA OCS/ECS,Strata Czasu 1,Demozoo
Stratajams Review,,,23.06.1997,23.06.1997,MS-DOS,Stratajams Review,Demozoo
StraTOS,,,18.03.1997,09.04.1998,ATARI FALCON,"StraTOS Numero 1, StraTOS Numero 2, StraTOS Numero 3, StraTOS Numero 4",Demozoo
Street Fighter 2 PC Review,,,15.09.1993,15.09.1993,MS-DOS,Street Fighter 2 PC Review,Demozoo
Strefa Mroku,Polish,Poland,01.08.1996,29.08.1998,"AMIGA AGA, AMIGA OCS/ECS","Strefa Mroku 1, Strefa Mroku 2, Strefa Mroku 3, Strefa Mroku 4","Demozoo, Pouet"
Strictly Hip-Hop,,,01.09.1990,01.09.1990,Commodore 64,Strictly Hip-Hop #002,CSDB
Strike Files,English,,24.12.1993,20.01.1994,Commodore 64,"Strike Files #04, Strike Files #05, Strike Files #4 (1993 12 24)(Accept)","CSDB, Internet Archive"
Stump,Russian,Russia,06.05.1997,06.10.1997,ZX Spectrum,"Stump #01, Stump #02, Stump #03, Stump #04",ZXpress
STUNN,,,,,ATARI ST/E,"STUNN Issue 01, STUNN Issue 02, STUNN Issue 03, STUNN Issue 04, STUNN Issue 05, STUNN Issue 06, STUNN Issue 07, STUNN Issue 08, STUNN Issue 09, STUNN Issue 10, STUNN Issue 11, STUNN Issue 12, STUNN Issue 13, STUNN Issue 14, STUNN Issue 15",Demozoo
Style [Skylight Designs],English,,23.05.1992,30.04.1999,Commodore 64,"Style #01, Style #02, Style #03, Style #05, Style #06, Style #07, Style #08, Style #09",CSDB
Style [Style],,,01.09.1990,01.10.1990,Commodore 64,"Style #01, Style #02",CSDB
"Subkult, Sub-Kult",,,01.04.1996,01.05.2000,"MS-DOS, MS-Dos/gus, WINDOWS","Sub-Kult #1, Sub-Kult #2, Sub-Kult #3, Sub-Kult #4, Sub-Kult 1, Sub-Kult 2, Sub-Kult 3, Sub-Kult 4, Sub-Kult 5, Sub-Kult 6, Subkult #3, Subkult #4, Subkult #5, subkult 6","Demozoo, Pouet"
Subliminal Extacy,English,Britain,01.01.1994,14.03.2021,ZX Spectrum,"Subliminal Extacy #0, Subliminal Extacy #1, Subliminal Extacy #2, Subliminal Extacy #3, Subliminal Extacy #4, Subliminal Extacy 4","Demozoo, Pouet, ZXpress"
