issue,title,platform,group,release,release_converted,link,download_links,external_download_links
"""Real Version"", Sex'n'Crime #05","Sex'n'Crime, Sex 'n' Crime",Commodore 64,Amok,July 1989,01.07.1989,https://csdb.dk//release/?id=188262,http://csdb.dk/getinternalfile.php/195705/Sex-n-Crime-5-with-note-AMOK.d64,http://ftp.pokefinder.org/index.php?s=SexnCrime%2005&sourceid=csdb
"...and it did seem it never would happen!, Nitro #26",Nitro,Commodore 64,Excess,4 August 2019,04.08.2019,https://csdb.dk//release/?id=180335,http://csdb.dk/getinternalfile.php/186911/Nitro #26 Final by ExCeSs.d64,http://ftp.pokefinder.org/index.php?s=Nitro%2026&sourceid=csdb
"1 Year Edition, Trashnews #10",Trashnews,Commodore 64,Climax,February 1991,01.02.1991,https://csdb.dk//release/?id=7154,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Trash_News/Trash_News_10.zip, http://csdb.dk/getinternalfile.php/52446/Trashnews #10.D64",http://ftp.pokefinder.org/index.php?s=Trashnews%2010&sourceid=csdb
"1 Year Tiger-Disk, One Year Tiger-Disk","1 Year Tiger-Disk, One Year Tiger-Disk",Commodore 64,Tiger-Crew,1995,01.01.1995,https://csdb.dk//release/?id=79905,http://csdb.dk/getinternalfile.php/76243/tigerdisk_1year.zip,http://ftp.pokefinder.org/index.php?s=One%20Year%20TigerDisk&sourceid=csdb
"2 Years Tiger-Disk, Two Years Tiger-Disk","2 Years Tiger-Disk, Two Years Tiger-Disk",Commodore 64,Tiger-Crew,,,https://csdb.dk//release/?id=79906,http://csdb.dk/getinternalfile.php/76244/tigerdisk_2years.zip,http://ftp.pokefinder.org/index.php?s=Two%20Years%20TigerDisk&sourceid=csdb
"2 Years, Chaotic Country #9 [hungarian]","2 Years, Chaotic Country #9 [hungarian]",Commodore 64,Therapy,February 1995,01.02.1995,https://csdb.dk//release/?id=150869,http://csdb.dk/getinternalfile.php/152196/CC9.zip,http://ftp.pokefinder.org/index.php?s=Chaotic%20Country%209%20hungarian&sourceid=csdb
3 Years APS,3 Years APS,Commodore 64,The Art Project Studios,8 April 1996,08.04.1996,https://csdb.dk//release/?id=3320,http://csdb.dk/getinternalfile.php/3848/3 Years APS.zip,http://ftp.pokefinder.org/index.php?s=3%20Years%20APS&sourceid=csdb
"3 Years Tiger-Disk, Three Years Tiger-Disk","3 Years Tiger-Disk, Three Years Tiger-Disk",Commodore 64,Tiger-Crew,March 1997,01.03.1997,https://csdb.dk//release/?id=79907,http://csdb.dk/getinternalfile.php/76245/tigerdisk_3years.zip,http://ftp.pokefinder.org/index.php?s=Three%20Years%20TigerDisk&sourceid=csdb
"4 Years Tiger-Disk, Four Years Tiger-Disk","4 Years Tiger-Disk, Four Years Tiger-Disk",Commodore 64,Tiger-Crew,1998,01.01.1998,https://csdb.dk//release/?id=79908,http://csdb.dk/getinternalfile.php/76246/tigerdisk_4years.zip,http://ftp.pokefinder.org/index.php?s=Four%20Years%20TigerDisk&sourceid=csdb
64'er-Disc 01/90,64'er-Disc,Commodore 64,The New Fashion '77,1990,01.01.1990,https://csdb.dk//release/?id=213019,https://csdb.dk/getinternalfile.php/223470/64er01-90-TheNewFashion.d64.zip,http://ftp.pokefinder.org/index.php?s=64erDisc%200190&sourceid=csdb
6510 Madness Preview,6510 Madness Preview,Commodore 64,"Falcon, Solar",August 1989,01.08.1989,https://csdb.dk//release/?id=138161,http://csdb.dk/getinternalfile.php/138159/6510M.d64,http://ftp.pokefinder.org/index.php?s=6510%20Madness%20Preview&sourceid=csdb
7Up #001,7Up,Commodore 64,TERA,March 1990,01.03.1990,https://csdb.dk//release/?id=64855,http://csdb.dk/getinternalfile.php/56918/7Up#001.d64,http://ftp.pokefinder.org/index.php?s=7Up%20001&sourceid=csdb
7Up #002,7Up,Commodore 64,TERA,April 1990,01.04.1990,https://csdb.dk//release/?id=45063,http://csdb.dk/getinternalfile.php/36022/7UP#002_____HEX.d64,http://ftp.pokefinder.org/index.php?s=7Up%20002&sourceid=csdb
7Up #003,7Up,Commodore 64,Warriors of the Wasteland,June 1990,01.06.1990,https://csdb.dk//release/?id=50770,http://csdb.dk/getinternalfile.php/42265/7UP#003_____WOW.T64,http://ftp.pokefinder.org/index.php?s=7Up%20003&sourceid=csdb
"7UP No.4, 7UP #004",7Up,Commodore 64,Warriors of the Wasteland,August 1990,01.08.1990,https://csdb.dk//release/?id=175758,http://csdb.dk/getinternalfile.php/179694/7up #004 [WOW].d64,http://ftp.pokefinder.org/index.php?s=7UP%20004&sourceid=csdb
"A Light Edition for Summer Relaxation, Vandalism News #47",Vandalism News,Commodore 64,"Onslaught, Vandalism News Staff, Wrath Designs",16 July 2006,16.07.2006,https://csdb.dk//release/?id=36213,http://csdb.dk/getinternalfile.php/25904/Vandalism_News_47.zip,http://ftp.pokefinder.org/index.php?s=Vandalism%20News%2047&sourceid=csdb
"A Midsummer Night's Dream, Nordic Scene Review #2",Nordic Scene Review,Commodore 64,,13 July 2005,13.07.2005,https://csdb.dk//release/?id=18556,http://csdb.dk/getinternalfile.php/6624/NSR#02.zip,http://ftp.pokefinder.org/index.php?s=Nordic%20Scene%20Review%202&sourceid=csdb
"A-Head #5, A-Head #C",A-Head,Commodore 64,"Desert Nomads, Trance",September 1994,01.09.1994,https://csdb.dk//release/?id=5147,http://csdb.dk/getinternalfile.php/59136/A-head_#C_(1994-09)(Desert_Nomads).zip,http://ftp.pokefinder.org/index.php?s=AHead%20C&sourceid=csdb
Absolute Beginners Guide #3,Absolute Beginners Guide,Commodore 64,Ratgang,1991,01.01.1991,https://csdb.dk//release/?id=99861,http://csdb.dk/getinternalfile.php/97298/absolutebeginnersguide03.d64,http://ftp.pokefinder.org/index.php?s=Absolute%20Beginners%20Guide%203&sourceid=csdb
Access #02,Access,Commodore 64,Ministry of Fear,January 1991,01.01.1991,https://csdb.dk//release/?id=32558,http://csdb.dk/getinternalfile.php/21546/Access2.zip,http://ftp.pokefinder.org/index.php?s=Access%2002&sourceid=csdb
Action News #1,Action News,Commodore 64,,September 1989,01.09.1989,https://csdb.dk//release/?id=29992,http://csdb.dk/getinternalfile.php/18810/actionnews01.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%201&sourceid=csdb
Action News #2,Action News,Commodore 64,,November 1989,01.11.1989,https://csdb.dk//release/?id=15492,http://csdb.dk/getinternalfile.php/16456/actionnews02.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%202&sourceid=csdb
Action News #3,Action News,Commodore 64,,December 1989,01.12.1989,https://csdb.dk//release/?id=15493,http://csdb.dk/getinternalfile.php/16457/actionnews03.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%203&sourceid=csdb
Action News #4,Action News,Commodore 64,,January 1990,01.01.1990,https://csdb.dk//release/?id=15494,http://csdb.dk/getinternalfile.php/16458/actionnews04.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%204&sourceid=csdb
Action News #5,Action News,Commodore 64,,9 March 1990,09.03.1990,https://csdb.dk//release/?id=15495,http://csdb.dk/getinternalfile.php/130219/Action_News_05.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%205&sourceid=csdb
Action News #6,Action News,Commodore 64,,April 1990,01.04.1990,https://csdb.dk//release/?id=5763,http://csdb.dk/getinternalfile.php/48404/actionnews06.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%206&sourceid=csdb
Action News #8,Action News,Commodore 64,,1990,01.01.1990,https://csdb.dk//release/?id=27817,http://csdb.dk/getinternalfile.php/16460/actionnews08.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%208&sourceid=csdb
Action News #9,Action News,Commodore 64,Spherical Designs,February 1991,01.02.1991,https://csdb.dk//release/?id=5764,http://csdb.dk/getinternalfile.php/130218/Action_News_09-Spherical_Designs.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%209&sourceid=csdb
Addresses #1,Addresses,Commodore 64,The Foxfire Crew,1990,01.01.1990,https://csdb.dk//release/?id=37252,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addresses/Addresses_01.TFC.zip, http://csdb.dk/getinternalfile.php/57646/Addresses_01.TFC.zip",http://ftp.pokefinder.org/index.php?s=Addresses%201&sourceid=csdb
Addresses #2,Addresses,Commodore 64,Manowar,April 1990,01.04.1990,https://csdb.dk//release/?id=37253,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addresses/Addresses_02.zip, http://csdb.dk/getinternalfile.php/53338/Addresses #2.D64",http://ftp.pokefinder.org/index.php?s=Addresses%202&sourceid=csdb
Addresses #3,Addresses,Commodore 64,Manowar,21 April 1990,21.04.1990,https://csdb.dk//release/?id=21855,http://csdb.dk/getinternalfile.php/9805/ADDRESSES3.zip,http://ftp.pokefinder.org/index.php?s=Addresses%203&sourceid=csdb
Addresses #4,Addresses,Commodore 64,Ruthless,23 July 1990,23.07.1990,https://csdb.dk//release/?id=21497,http://csdb.dk/getinternalfile.php/47337/Addresses_04.zip,http://ftp.pokefinder.org/index.php?s=Addresses%204&sourceid=csdb
Addresses #5,Addresses,Commodore 64,Ruthless,23 February 1991,23.02.1991,https://csdb.dk//release/?id=37254,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addresses/Addresses_05.zip, http://csdb.dk/getinternalfile.php/51725/ADDRESSES_05-R-.T64",http://ftp.pokefinder.org/index.php?s=Addresses%205&sourceid=csdb
Addy Burger #01,"Addy Burger, Addyburger",Commodore 64,The Guards,21 July 1990,21.07.1990,https://csdb.dk//release/?id=29994,http://csdb.dk/getinternalfile.php/18812/addyburger01.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2001&sourceid=csdb
Addy Burger #02,"Addy Burger, Addyburger",Commodore 64,Trans-X,18 August 1990,18.08.1990,https://csdb.dk//release/?id=45555,http://csdb.dk/getinternalfile.php/36567/Addy Burger #02.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2002&sourceid=csdb
Addy Burger #03,"Addy Burger, Addyburger",Commodore 64,Trans-X,September 1990,01.09.1990,https://csdb.dk//release/?id=53110,http://csdb.dk/getinternalfile.php/44728/Addy Burger #03.d64,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2003&sourceid=csdb
Addy Burger #04,"Addy Burger, Addyburger",Commodore 64,Trans-X,October 1990,01.10.1990,https://csdb.dk//release/?id=29996,http://csdb.dk/getinternalfile.php/18814/addyburger04.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2004&sourceid=csdb
Addy Burger #05,"Addy Burger, Addyburger",Commodore 64,Trans-X,1990,01.01.1990,https://csdb.dk//release/?id=29998,http://csdb.dk/getinternalfile.php/18816/addyburger05.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2005&sourceid=csdb
Addy Collection,Addy Collection,Commodore 64,Xenon,August 1994,01.08.1994,https://csdb.dk//release/?id=124916,http://csdb.dk/getinternalfile.php/123638/009A.D64,http://ftp.pokefinder.org/index.php?s=Addy%20Collection&sourceid=csdb
Addybook #1,Addybook,Commodore 64,Blaze,September 1991,01.09.1991,https://csdb.dk//release/?id=5148,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_01.zip, http://csdb.dk/getinternalfile.php/57645/Addybook_01.zip",http://ftp.pokefinder.org/index.php?s=Addybook%201&sourceid=csdb
Addybook #10,Addybook,Commodore 64,Blaze,5 September 1992,05.09.1992,https://csdb.dk//release/?id=10109,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_10.zip, http://csdb.dk/getinternalfile.php/57644/Addybook_10.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2010&sourceid=csdb
Addybook #11,Addybook,Commodore 64,Blaze,31 October 1992,31.10.1992,https://csdb.dk//release/?id=10110,"http://csdb.dk/getinternalfile.php/122359/addybook#11.d64, ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_11.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2011&sourceid=csdb
Addybook #12,Addybook,Commodore 64,Oxyron,7 February 1993,07.02.1993,https://csdb.dk//release/?id=3351,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_12[Oxyron].zip, http://csdb.dk/getinternalfile.php/57643/Addybook_12[Oxyron].zip",http://ftp.pokefinder.org/index.php?s=Addybook%2012&sourceid=csdb
Addybook #13,Addybook,Commodore 64,Oxyron,June 1993,01.06.1993,https://csdb.dk//release/?id=10111,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_13.zip, http://csdb.dk/getinternalfile.php/57853/Addybook_13.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2013&sourceid=csdb
Addybook #14,Addybook,Commodore 64,Oxyron,October 1993,01.10.1993,https://csdb.dk//release/?id=5582,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_14.zip, http://csdb.dk/getinternalfile.php/57781/Addybook_14.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2014&sourceid=csdb
