issue,title,platform,group,release,release_converted,link,download_links,external_links
11th #1,11th,MS-Dos,Mistigris,11 November 1997,11.11.1997,https://demozoo.org//productions/139815/,"https://files.scene.org/get/mags/11th/11th-1.zip, https://files.scene.org/view/mags/11th/11th-1.zip",
3Bit #1,3Bit,ZX Spectrum,"Patriots, Real Soft Makers",2005,01.01.2005,https://demozoo.org//productions/269727/,http://zxpress.ru/d.php?id=4,
3D Zine,3D Zine,Atari 8 bit,Sword,,,https://demozoo.org//productions/113557/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/8BIT/SWORD/3D_ZINE.ZIP,https://www.pouet.net/prod.php?which=88452
42 1,42,Amiga OCS/ECS,Talent,May 1994,01.05.1994,https://demozoo.org//productions/123673/,"http://ftp.amigascne.org/pub/amiga/Groups/T/Talent/Talent-4201.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/Talent/Talent-4201.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/Talent/Talent-4201.dms, https://files.scene.org/get/demos/groups/talent/talent-4201.dms, https://files.scene.org/view/demos/groups/talent/talent-4201.dms","http://janeway.exotica.org.uk/release.php?id=10343, https://www.pouet.net/prod.php?which=32018"
42 2,42,Amiga AGA,Talent,3 August 1994,03.08.1994,https://demozoo.org//productions/194469/,"http://ftp.amigascne.org/pub/amiga/Groups/T/Talent/TALENT-4202.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/Talent/TALENT-4202.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/Talent/TALENT-4202.lha, http://ftp.amigascne.org/pub/amiga/Groups/T/Talent/Talent-42-2.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/Talent/Talent-42-2.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/Talent/Talent-42-2.adf","http://janeway.exotica.org.uk/release.php?id=10335, https://www.pouet.net/prod.php?which=8782"
64 Times #1,64 Times,Commodore 64,Bronx,7 March 2000,07.03.2000,https://demozoo.org//productions/186673/,http://csdb.dk/getinternalfile.php/57602/64Times_01.zip,"https://csdb.dk/release/?id=9565, https://www.pouet.net/prod.php?which=19663"
688 (I) Hunter/Killer Review,688 (I) Hunter/Killer Review,MS-Dos,The Reviewers Guild,30 June 1997,30.06.1997,https://demozoo.org//productions/287487/,"https://files.scene.org/get/mags/reviews/trg/688_i_hunter_killer_review.zip, https://files.scene.org/view/mags/reviews/trg/688_i_hunter_killer_review.zip",
7 Zone 1,7 Zone,MS-Dos,Cyclonus,June 2000,01.06.2000,https://demozoo.org//productions/98685/,"https://files.scene.org/get/mags/7zone/7zone.zip, https://files.scene.org/view/mags/7zone/7zone.zip",https://www.pouet.net/prod.php?which=32587
7 Zone 2,7 Zone,Windows,Cyclonus,March 2001,01.03.2001,https://demozoo.org//productions/98686/,"https://files.scene.org/get/mags/7zone/7zone2.zip, https://files.scene.org/view/mags/7zone/7zone2.zip",https://www.pouet.net/prod.php?which=32588
7th Legion Review,7th Legion Review,MS-Dos,The Reviewers Guild,6 September 1997,06.09.1997,https://demozoo.org//productions/287486/,"https://files.scene.org/get/mags/reviews/trg/7th_legion_review.zip, https://files.scene.org/view/mags/reviews/trg/7th_legion_review.zip",
8 Ohms 10,8 Ohms,Amiga OCS/ECS,Sector 5,1 April 1998,01.04.1998,https://demozoo.org//productions/257722/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8ohms10.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, https://files.scene.org/get/mags/8ohms/8ohms10.lha, https://files.scene.org/view/mags/8ohms/8ohms10.lha","http://janeway.exotica.org.uk/release.php?id=30582, https://www.pouet.net/prod.php?which=23714"
8 Ohms 11,8 Ohms,Amiga OCS/ECS,Sector 5,10 June 1998,10.06.1998,https://demozoo.org//productions/257723/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8ohms10.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, https://files.scene.org/get/mags/8ohms/8ohms-11.zip, https://files.scene.org/view/mags/8ohms/8ohms-11.zip","http://janeway.exotica.org.uk/release.php?id=30583, https://www.pouet.net/prod.php?which=23711"
8 Ohms 2,8 Ohms,Amiga OCS/ECS,Sector 5,April 1996,01.04.1996,https://demozoo.org//productions/257724/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/Sector5-8Ohms2.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms2.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms2.DMS, https://files.scene.org/get/mags/8ohms/sector5-8ohms2.dms, https://files.scene.org/view/mags/8ohms/sector5-8ohms2.dms",http://janeway.exotica.org.uk/release.php?id=30589
8 Ohms 4,8 Ohms,Amiga OCS/ECS,Sector 5,1 January 1997,01.01.1997,https://demozoo.org//productions/257725/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/Sector5-8Ohms4.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms4.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms4.dms, https://files.scene.org/get/mags/8ohms/sector5-8ohms4.dms, https://files.scene.org/view/mags/8ohms/sector5-8ohms4.dms",http://janeway.exotica.org.uk/release.php?id=78968
8 Ohms 5,8 Ohms,Amiga OCS/ECS,Sector 5,1997,01.01.1997,https://demozoo.org//productions/257726/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8Ohms_5.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8Ohms_5.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8Ohms_5.lha, https://files.scene.org/get/mags/8ohms/8ohms_5.lha, https://files.scene.org/view/mags/8ohms/8ohms_5.lha","http://janeway.exotica.org.uk/release.php?id=30588, https://www.pouet.net/prod.php?which=23720"
